;year;hour;season;holiday;workingday;weather;temp;atemp;humidity;windspeed;count
0;2012;23;summer;no;0;moderate;23.78;27.275;73;11.0014;133
1;2011;8;summer;no;0;good;27.88;31.82;57;0.0;132
2;2012;2;winter;no;1;good;20.5;24.24;59;0.0;19
3;2011;20;summer;no;1;bad;25.42;28.79;83;19.9995;58
4;2011;17;summer;no;1;bad;26.24;28.79;89;0.0;285
5;2011;19;spring;no;1;moderate;34.44;37.12;39;22.0028;326
6;2012;23;spring;no;1;moderate;23.78;27.275;78;7.0015;75
7;2011;22;summer;no;1;good;25.42;27.275;94;0.0;160
8;2011;14;summer;no;1;good;35.26;41.665;53;19.0012;134
9;2011;13;winter;no;0;moderate;18.86;22.725;72;19.9995;94
10;2012;15;spring;no;0;good;27.06;31.06;50;15.0013;463
11;2012;19;spring;no;1;good;19.68;23.485;31;16.9979;487
12;2012;22;summer;no;1;good;29.52;34.09;70;7.0015;288
13;2011;0;summer;no;1;good;28.7;31.82;45;7.0015;46
14;2011;6;summer;no;1;moderate;26.24;29.545;78;16.9979;103
15;2012;7;summer;no;1;moderate;28.7;33.335;74;7.0015;520
16;2011;12;summer;no;1;moderate;31.16;36.365;70;19.0012;213
17;2012;4;autumn;no;0;moderate;13.12;15.15;49;19.9995;16
18;2012;17;winter;no;1;good;17.22;21.21;32;22.0028;465
19;2011;1;spring;no;0;good;12.3;15.91;61;7.0015;34
20;2012;5;summer;no;1;good;27.06;30.305;83;11.0014;37
21;2012;6;winter;no;1;good;13.94;17.425;57;7.0015;88
22;2011;15;autumn;no;1;moderate;22.14;25.76;60;8.9981;191
23;2012;13;summer;no;0;good;33.62;38.635;52;35.0008;668
24;2011;23;autumn;no;0;good;14.76;18.18;81;6.0032;25
25;2012;13;summer;no;1;good;36.9;38.635;25;8.9981;283
26;2011;17;autumn;no;0;good;10.66;12.88;48;15.0013;165
27;2012;10;spring;no;1;bad;19.68;23.485;47;15.0013;147
28;2012;9;spring;no;1;good;25.42;30.305;65;11.0014;366
29;2012;1;autumn;no;1;moderate;12.3;15.91;65;6.0032;21
30;2011;23;summer;no;1;good;26.24;31.06;61;11.0014;167
31;2012;10;spring;no;1;good;16.4;20.455;50;19.9995;141
32;2011;0;spring;no;1;good;18.86;22.725;72;8.9981;177
33;2012;4;spring;no;1;moderate;22.14;25.76;77;15.0013;6
34;2011;8;winter;no;0;good;5.74;7.575;86;8.9981;30
35;2011;17;summer;no;1;good;30.34;33.335;51;15.0013;579
36;2012;23;summer;no;1;good;19.68;23.485;67;6.0032;123
37;2011;2;autumn;no;1;good;19.68;23.485;77;7.0015;23
38;2012;6;spring;no;1;good;20.5;24.24;77;19.9995;165
39;2012;22;spring;no;0;good;19.68;23.485;20;12.998;182
40;2012;3;summer;no;0;moderate;25.42;30.305;61;11.0014;55
41;2012;4;summer;no;0;good;25.42;29.545;73;15.0013;13
42;2012;1;spring;no;1;bad;22.96;26.515;60;11.0014;14
43;2011;23;autumn;yes;0;moderate;22.14;25.76;88;7.0015;75
44;2011;8;winter;no;0;bad;16.4;20.455;71;15.0013;8
45;2012;23;summer;no;1;good;29.52;34.85;79;0.0;138
46;2011;6;winter;no;0;moderate;17.22;21.21;94;23.9994;2
47;2011;1;autumn;no;1;moderate;18.86;22.725;100;16.9979;13
48;2011;7;spring;no;0;moderate;17.22;21.21;77;6.0032;33
49;2011;4;spring;no;0;moderate;21.32;25.0;100;0.0;13
50;2011;1;spring;no;1;good;18.86;22.725;72;8.9981;114
51;2011;6;spring;no;0;bad;16.4;20.455;82;22.0028;10
52;2011;10;winter;no;0;good;5.74;5.305;43;26.0027;49
53;2011;12;spring;no;1;bad;22.96;26.515;83;27.9993;153
54;2012;0;summer;no;1;good;27.06;31.06;69;0.0;76
55;2012;12;spring;no;1;good;22.14;25.76;22;19.0012;259
56;2011;2;summer;no;1;good;27.06;29.545;89;0.0;7
57;2012;0;summer;no;1;good;31.16;36.365;66;11.0014;53
58;2012;17;autumn;no;1;bad;22.96;26.515;60;16.9979;856
59;2012;21;spring;no;0;good;20.5;24.24;20;12.998;234
60;2012;3;autumn;no;1;bad;14.76;16.665;87;23.9994;5
61;2011;7;spring;no;1;bad;14.76;17.425;100;15.0013;70
62;2012;16;autumn;no;1;good;18.86;22.725;41;23.9994;520
63;2012;7;summer;no;0;good;26.24;29.545;78;19.0012;48
64;2011;11;summer;no;1;moderate;29.52;34.09;66;6.0032;165
65;2011;14;winter;no;1;good;10.66;12.88;52;15.0013;63
66;2012;10;winter;no;1;moderate;10.66;12.88;70;15.0013;108
67;2012;9;summer;no;1;moderate;29.52;34.09;62;12.998;367
68;2011;12;spring;no;0;moderate;17.22;21.21;88;8.9981;230
69;2011;8;autumn;no;1;moderate;20.5;24.24;51;16.9979;414
70;2012;10;winter;no;1;moderate;7.38;9.85;93;11.0014;83
71;2012;14;summer;no;1;good;33.62;39.395;56;7.0015;211
72;2012;4;winter;no;1;good;9.02;11.365;69;8.9981;3
73;2012;8;autumn;no;0;moderate;9.84;12.12;87;8.9981;144
74;2011;5;winter;no;1;good;10.66;11.365;81;22.0028;2
75;2011;14;autumn;no;1;good;20.5;24.24;45;11.0014;172
76;2012;3;summer;no;1;good;28.7;33.335;84;0.0;7
77;2011;1;autumn;no;1;moderate;18.86;22.725;88;0.0;11
78;2011;12;winter;no;1;moderate;8.2;12.88;86;0.0;55
79;2011;6;autumn;no;0;good;16.4;20.455;71;0.0;20
80;2012;0;autumn;no;1;moderate;12.3;14.395;56;19.0012;283
81;2011;21;autumn;no;1;good;14.76;16.665;57;16.9979;136
82;2011;23;summer;no;1;good;27.88;31.82;69;15.0013;139
83;2011;22;spring;no;1;good;26.24;31.06;33;16.9979;155
84;2011;18;summer;no;0;good;32.8;36.365;46;19.9995;390
85;2012;17;spring;no;1;good;25.42;31.06;43;8.9981;724
86;2012;20;autumn;yes;0;bad;16.4;20.455;71;15.0013;227
87;2012;0;autumn;no;1;good;10.66;12.12;48;19.0012;44
88;2011;1;autumn;no;1;good;19.68;23.485;77;11.0014;11
89;2011;2;autumn;yes;0;good;13.12;14.395;57;19.0012;11
90;2011;11;summer;yes;0;moderate;31.16;34.85;55;6.0032;349
91;2011;4;summer;no;1;good;24.6;29.545;73;11.0014;10
92;2012;4;autumn;no;1;good;17.22;21.21;67;11.0014;7
93;2012;8;autumn;no;0;good;12.3;15.15;56;8.9981;149
94;2012;1;summer;no;0;good;27.06;31.06;74;15.0013;116
95;2011;2;summer;no;1;good;25.42;30.305;69;0.0;13
96;2011;21;autumn;no;0;good;21.32;25.0;77;0.0;187
97;2011;23;summer;no;1;good;30.34;32.575;37;6.0032;108
98;2011;17;winter;no;1;good;13.94;17.425;34;6.0032;242
99;2012;0;summer;no;1;good;28.7;32.575;65;6.0032;85
100;2012;18;spring;no;1;good;22.96;26.515;35;35.0008;770
101;2012;4;summer;no;1;good;27.88;31.82;65;7.0015;6
102;2012;21;winter;no;0;good;5.74;3.79;43;43.0006;48
103;2012;14;autumn;no;1;good;18.86;22.725;38;12.998;274
104;2011;6;winter;no;1;moderate;4.92;6.06;54;19.0012;26
105;2011;15;spring;no;1;good;28.7;31.82;37;30.0026;185
106;2011;9;spring;no;1;good;14.76;16.665;46;16.9979;165
107;2011;17;summer;yes;0;good;32.8;36.365;46;0.0;436
108;2011;12;winter;no;1;good;15.58;19.695;32;22.0028;86
109;2012;4;winter;no;1;moderate;16.4;20.455;87;16.9979;3
110;2011;19;spring;no;0;moderate;17.22;21.21;44;12.998;144
111;2011;20;autumn;no;1;moderate;19.68;23.485;82;8.9981;238
112;2012;16;autumn;no;0;good;24.6;31.06;43;35.0008;659
113;2012;5;autumn;no;1;moderate;15.58;19.695;82;12.998;19
114;2011;13;autumn;no;1;good;22.14;25.76;49;11.0014;196
115;2012;8;summer;yes;0;good;28.7;32.575;61;7.0015;153
116;2011;0;winter;no;1;good;12.3;13.635;70;31.0009;7
117;2011;20;winter;no;1;moderate;13.12;16.665;70;7.0015;88
118;2012;17;summer;no;1;good;32.8;34.85;31;15.0013;830
119;2012;9;winter;no;0;good;5.74;8.335;50;7.0015;81
120;2011;11;autumn;no;0;good;13.12;16.665;57;6.0032;275
121;2012;18;summer;no;0;moderate;26.24;31.06;36;19.0012;614
122;2011;6;winter;no;1;bad;5.74;10.605;93;0.0;22
123;2011;0;winter;no;1;good;12.3;13.635;49;27.9993;19
124;2012;0;summer;no;1;good;29.52;35.605;84;7.0015;53
125;2012;18;spring;no;1;good;28.7;31.82;34;19.0012;813
126;2011;19;autumn;no;0;good;12.3;15.91;61;6.0032;175
127;2012;13;autumn;no;1;good;18.04;21.97;18;27.9993;228
128;2011;22;winter;no;0;good;10.66;13.635;93;8.9981;45
129;2011;1;winter;no;1;moderate;6.56;9.09;86;7.0015;6
130;2011;13;autumn;no;1;good;16.4;20.455;47;8.9981;207
131;2011;16;spring;no;0;good;22.14;25.76;30;23.9994;343
132;2012;2;spring;no;1;moderate;17.22;21.21;77;0.0;6
133;2012;13;autumn;no;1;good;13.94;16.665;46;8.9981;278
134;2011;0;summer;no;1;good;25.42;29.545;78;6.0032;33
135;2012;3;autumn;no;0;moderate;12.3;15.15;81;11.0014;46
136;2011;19;autumn;no;0;bad;9.84;10.605;65;22.0028;106
137;2011;11;winter;no;1;good;8.2;11.365;29;6.0032;50
138;2012;17;spring;yes;0;good;32.8;34.85;33;26.0027;712
139;2012;2;summer;no;1;good;28.7;33.335;74;8.9981;16
140;2011;1;autumn;no;1;good;13.94;18.18;87;0.0;10
141;2011;15;autumn;no;1;good;19.68;23.485;51;11.0014;187
142;2011;16;summer;no;1;moderate;24.6;30.305;60;11.0014;263
143;2012;15;summer;no;1;good;34.44;38.635;47;6.0032;292
144;2012;21;summer;no;0;moderate;24.6;28.03;83;11.0014;181
145;2011;14;winter;no;0;moderate;16.4;20.455;30;27.9993;161
146;2011;8;spring;no;0;moderate;18.04;21.97;77;8.9981;59
147;2012;19;winter;no;0;good;6.56;8.335;37;11.0014;110
148;2011;6;winter;no;1;good;4.92;7.575;54;8.9981;28
149;2012;8;winter;no;1;bad;16.4;20.455;87;0.0;445
150;2012;17;spring;no;1;good;26.24;30.305;23;16.9979;779
151;2012;14;spring;no;1;good;19.68;23.485;29;26.0027;490
152;2011;15;winter;no;1;good;11.48;13.635;52;16.9979;65
153;2011;8;summer;no;1;good;26.24;31.06;50;23.9994;486
154;2011;21;summer;yes;0;moderate;27.06;29.545;94;19.9995;60
155;2012;1;autumn;no;1;good;18.04;21.97;77;6.0032;18
156;2012;12;winter;no;0;moderate;10.66;12.88;81;11.0014;221
157;2011;2;spring;no;1;good;15.58;19.695;62;7.0015;16
158;2011;2;summer;no;0;good;26.24;30.305;69;15.0013;94
159;2011;2;autumn;no;1;good;11.48;13.635;65;15.0013;4
