id,course,grade,points_earned,max_points
7798814,3810,a,4,3
7798814,3310,a,4,3
2149193,4331,b,3,3
2149193,3620,a,4,3
5062031,3310,a,4,3
7361386,3130,a,4,3
7361386,4900,a,4,3
7361386,3310,b,3,3
5484525,3130,c,2,3
5484525,3667,f,0,3
5849744,3115,a,4,3
5849744,3230,a,4,3
1303047,3667,b,3,3
1303047,4900,b,3,3
1515716,3310,a,4,3
3822320,3160,a,4,3
3822320,3130,b,3,3
9548347,3810,b,3,3
5131111,4900,a,4,3
5131111,3230,a,4,3
2227757,3410,b,3,3
2227757,3310,b,3,3
1802931,3610,a,4,3
1802931,4331,d,1,3
9339781,3142,d,1,3
1134931,3667,a,4,3
7610387,3320,a,4,3
7610387,4905,w,0,0
1017158,3610,a,4,3
1017158,3171,w,0,0
1017158,3310,f,0,3
5422382,4905,w,0,0
5422382,3810,b,3,3
7541941,3225,a,4,3
7541941,3620,b,3,3
4008227,3667,a,4,3
4008227,3310,w,0,0
9614903,3410,b,3,3
7556881,4905,b,3,3
7556881,4331,c,2,3
8719106,4905,a,4,3
3461094,3171,b,3,3
3461094,3350,b,3,3
7847834,4331,b,3,3
3829242,3320,b,3,3
3829242,3610,a,4,3
3829242,4900,w,0,0
8173445,3225,b,3,3
8418791,3220,d,1,3
4780951,3650,b,3,3
3704367,3650,b,3,3
3704367,3620,b,3,3
5851717,3115,b,3,3
5851717,3650,b,3,3
5851717,3171,d,1,3
5751616,3810,d,1,3
5751616,3620,b,3,3
5751616,3140,a,4,3
5126650,3160,f,0,3
5126650,3667,b,3,3
5126650,3142,a,4,3
7486193,3320,b,3,3
7486193,3142,a,4,3
4038541,3410,a,4,3
4038541,3620,a,4,3
4038541,3310,w,0,0
3965662,4905,b,3,3
4695175,3410,a,4,3
4695175,4900,f,0,3
4695175,3142,b,3,3
7383506,3667,a,4,3
7383506,4900,b,3,3
8621768,3667,c,2,3
8621768,4900,a,4,3
8463161,3810,a,4,3
8463161,3115,b,3,3
1739486,3810,w,0,0
1739486,3667,w,0,0
8452984,3320,b,3,3
8452984,3650,b,3,3
7035752,3225,b,3,3
7035752,3115,a,4,3
7035752,4900,c,2,3
8179439,3610,a,4,3
1190341,3320,w,0,0
1190341,3810,d,1,3
1190341,3620,a,4,3
8416967,3225,b,3,3
9835437,4905,d,1,3
9835437,3130,a,4,3
3446132,3350,b,3,3
7811702,3610,a,4,3
7811702,3140,w,0,0
7811702,3230,b,3,3
6904743,3610,w,0,0
6904743,4331,d,1,3
6904743,3142,b,3,3
3600317,3320,w,0,0
4447032,4905,b,3,3
4447032,3130,a,4,3
4447032,3620,a,4,3
3555999,4905,a,4,3
3555999,4900,c,2,3
8406576,3320,c,2,3
8406576,3171,a,4,3
6042176,3320,a,4,3
6042176,3810,b,3,3
8960454,4905,a,4,3
8960454,3310,f,0,3
8960454,3350,b,3,3
8974402,3810,b,3,3
8974402,3220,b,3,3
8974402,3350,a,4,3
3442538,3220,a,4,3
3442538,3350,a,4,3
1270178,4905,b,3,3
1270178,3140,d,1,3
5126631,3610,f,0,3
5126631,3140,a,4,3
3759364,4905,a,4,3
3759364,3171,a,4,3
2298001,3225,a,4,3
2298001,3220,a,4,3
2298001,3230,a,4,3
1297598,3650,d,1,3
1297598,3620,a,4,3
9939221,3320,a,4,3
9939221,3350,b,3,3
7670762,3810,w,0,0
7670762,3667,a,4,3
8841131,3115,b,3,3
8841131,3171,a,4,3
7838867,3225,d,1,3
7838867,3667,c,2,3
2680945,3320,a,4,3
