id,course,grade,points_earned,max_points
7798814,2600,a,4,3
7798814,3410,b,3,3
2149193,2600,a,4,3
2149193,3225,a,4,3
5062031,3320,a,4,3
5062031,3115,a,4,3
5062031,3230,a,4,3
7361386,2600,a,4,3
7361386,3220,b,3,3
7361386,1590,a,4,3
5484525,3320,w,0,0
5484525,3115,a,4,3
5849744,2600,a,4,3
5849744,1597,c,2,3
1303047,2210,b,3,3
1303047,3230,b,3,3
1515716,3130,a,4,3
1515716,3350,d,1,3
3822320,3230,a,4,3
9548347,1600,a,4,3
9548347,3115,a,4,3
5131111,3160,b,3,3
5131111,3225,a,4,3
5131111,3350,a,4,3
2227757,3171,a,4,3
2227757,3140,d,1,3
1802931,3142,c,2,3
1802931,3310,a,4,3
9339781,2210,f,0,3
9339781,2531,a,4,3
1134931,1530,a,4,3
1134931,3140,a,4,3
1134931,2590,a,4,3
7610387,3160,a,4,3
1017158,2210,a,4,3
1017158,3130,c,2,3
1017158,1530,f,0,3
5422382,3160,a,4,3
5422382,3410,a,4,3
5422382,3220,b,3,3
7541941,3130,f,0,3
7541941,3140,w,0,0
7541941,3230,b,3,3
4008227,1600,b,3,3
4008227,2600,a,4,3
9614903,3320,c,2,3
7556881,3140,b,3,3
7556881,1580,b,3,3
8719106,1530,f,0,3
8719106,2590,c,2,3
3461094,2531,a,4,3
3461094,3310,b,3,3
7847834,3225,b,3,3
7847834,3171,b,3,3
7847834,3115,f,0,3
3829242,3225,a,4,3
3829242,1580,d,1,3
3829242,3220,c,2,3
8173445,3115,a,4,3
8173445,1590,a,4,3
8418791,3225,a,4,3
8418791,3140,c,2,3
8418791,3350,c,2,3
4780951,3160,a,4,3
4780951,3220,b,3,3
4780951,3350,b,3,3
8131408,2600,a,4,3
8131408,3410,b,3,3
8131408,2590,a,4,3
3704367,3130,a,4,3
3704367,2820,c,2,3
5851717,3320,a,4,3
5851717,3350,a,4,3
5751616,2600,b,3,3
5751616,3115,a,4,3
5751616,3350,c,2,3
5126650,1600,b,3,3
5126650,3115,a,4,3
7486193,3130,w,0,0
7486193,2531,d,1,3
4038541,3130,b,3,3
4038541,3171,a,4,3
3965662,3160,d,1,3
3965662,3220,b,3,3
3965662,3140,b,3,3
4695175,3225,c,2,3
4695175,3140,d,1,3
2678484,3410,w,0,0
2678484,3115,a,4,3
2678484,3310,b,3,3
7383506,3230,w,0,0
7383506,3310,a,4,3
8621768,3115,a,4,3
8463161,3320,b,3,3
8463161,3350,a,4,3
1739486,1600,b,3,3
1739486,1580,b,3,3
1739486,2590,b,3,3
7035752,2600,w,0,0
7035752,3130,a,4,3
8179439,3115,a,4,3
8179439,3220,b,3,3
1190341,3115,a,4,3
1190341,1590,b,3,3
8416967,3115,w,0,0
8416967,3140,a,4,3
8416967,3350,a,4,3
9835437,2600,w,0,0
9835437,3140,b,3,3
3446132,1590,c,2,3
3446132,3230,b,3,3
7811702,3130,b,3,3
7811702,1580,c,2,3
7811702,2820,a,4,3
6904743,3410,b,3,3
3600317,3220,f,0,3
3600317,2820,b,3,3
4447032,3310,b,3,3
3555999,1530,w,0,0
3555999,2531,a,4,3
3555999,2820,a,4,3
9494873,3130,f,0,3
9494873,3220,a,4,3
6042176,3115,c,2,3
6042176,2820,b,3,3
6042176,1597,a,4,3
8960454,1530,a,4,3
8960454,3142,b,3,3
8974402,1600,a,4,3
8974402,3171,a,4,3
3442538,3320,b,3,3
3442538,3225,d,1,3
3442538,2600,a,4,3
1270178,3160,a,4,3
1270178,2531,f,0,3
1270178,3220,a,4,3
5126631,3220,a,4,3
3759364,2210,c,2,3
3759364,1530,f,0,3
3759364,1590,c,2,3
2298001,3142,a,4,3
2298001,3350,f,0,3
1297598,3115,a,4,3
9939221,3310,b,3,3
9939221,2590,w,0,0
7670762,2600,d,1,3
7670762,2210,c,2,3
7670762,3310,a,4,3
8841131,3160,d,1,3
8841131,3350,b,3,3
2680945,3171,a,4,3
2680945,3350,a,4,3
1837150,2590,c,2,3
3605830,3320,a,4,3
3605830,1600,d,1,3
3605830,3310,a,4,3
8954058,1530,b,3,3
8954058,3350,a,4,3
2207639,3140,c,2,3
2207639,3310,d,1,3
6915519,3320,b,3,3
6915519,3410,b,3,3
6915519,2531,a,4,3
7119330,2820,a,4,3
7119330,1580,b,3,3
1329591,3320,f,0,3
1329591,2820,a,4,3
1329591,3142,b,3,3
8854136,2210,b,3,3
8854136,3310,b,3,3
8854136,3350,b,3,3
3292348,3410,a,4,3
3292348,3115,d,1,3
4828934,3142,a,4,3
4828934,3310,b,3,3
8121331,2600,w,0,0
8121331,3142,b,3,3
8121331,3350,f,0,3
9282994,3160,d,1,3
9282994,3320,b,3,3
1731969,3130,a,4,3
1731969,2820,c,2,3
6705283,2600,f,0,3
6705283,3410,b,3,3
9432884,3160,b,3,3
