id,course,grade,points_earned,max_points
7798814,2600,a,4,4
7798814,3410,b,3,4
2149193,2600,a,4,4
2149193,3225,a,4,4
5062031,3320,a,4,4
5062031,3115,a,4,4
5062031,3230,a,4,4
7361386,2600,a,4,4
7361386,3220,b,3,4
7361386,1590,a,4,4
5484525,3320,w,0,0
5484525,3115,a,4,4
5849744,2600,a,4,4
5849744,1597,c,2,4
1303047,2210,b,3,4
1303047,3230,b,3,4
1515716,3130,a,4,4
1515716,3350,d,1,4
3822320,3230,a,4,4
9548347,1600,a,4,4
9548347,3115,a,4,4
5131111,3160,b,3,4
5131111,3225,a,4,4
5131111,3350,a,4,4
2227757,3171,a,4,4
2227757,3140,d,1,4
1802931,3142,c,2,4
1802931,3310,a,4,4
9339781,2210,f,0,4
9339781,2531,a,4,4
1134931,1530,a,4,4
1134931,3140,a,4,4
1134931,2590,a,4,4
7610387,3160,a,4,4
1017158,2210,a,4,4
1017158,3130,c,2,4
1017158,1530,f,0,4
5422382,3160,a,4,4
5422382,3410,a,4,4
5422382,3220,b,3,4
7541941,3130,f,0,4
7541941,3140,w,0,0
7541941,3230,b,3,4
4008227,1600,b,3,4
4008227,2600,a,4,4
9614903,3320,c,2,4
7556881,3140,b,3,4
7556881,1580,b,3,4
8719106,1530,f,0,4
8719106,2590,c,2,4
3461094,2531,a,4,4
3461094,3310,b,3,4
7847834,3225,b,3,4
7847834,3171,b,3,4
7847834,3115,f,0,4
3829242,3225,a,4,4
3829242,1580,d,1,4
3829242,3220,c,2,4
8173445,3115,a,4,4
8173445,1590,a,4,4
8418791,3225,a,4,4
8418791,3140,c,2,4
8418791,3350,c,2,4
4780951,3160,a,4,4
4780951,3220,b,3,4
4780951,3350,b,3,4
8131408,2600,a,4,4
8131408,3410,b,3,4
8131408,2590,a,4,4
3704367,3130,a,4,4
3704367,2820,c,2,4
5851717,3320,a,4,4
5851717,3350,a,4,4
5751616,2600,b,3,4
5751616,3115,a,4,4
5751616,3350,c,2,4
5126650,1600,b,3,4
5126650,3115,a,4,4
7486193,3130,w,0,0
7486193,2531,d,1,4
4038541,3130,b,3,4
4038541,3171,a,4,4
3965662,3160,d,1,4
3965662,3220,b,3,4
3965662,3140,b,3,4
4695175,3225,c,2,4
4695175,3140,d,1,4
2678484,3410,w,0,0
2678484,3115,a,4,4
2678484,3310,b,3,4
7383506,3230,w,0,0
7383506,3310,a,4,4
8621768,3115,a,4,4
8463161,3320,b,3,4
8463161,3350,a,4,4
1739486,1600,b,3,4
1739486,1580,b,3,4
1739486,2590,b,3,4
7035752,2600,w,0,0
7035752,3130,a,4,4
8179439,3115,a,4,4
8179439,3220,b,3,4
1190341,3115,a,4,4
1190341,1590,b,3,4
8416967,3115,w,0,0
8416967,3140,a,4,4
8416967,3350,a,4,4
9835437,2600,w,0,0
9835437,3140,b,3,4
3446132,1590,c,2,4
3446132,3230,b,3,4
7811702,3130,b,3,4
7811702,1580,c,2,4
7811702,2820,a,4,4
6904743,3410,b,3,4
3600317,3220,f,0,4
3600317,2820,b,3,4
4447032,3310,b,3,4
3555999,1530,w,0,0
3555999,2531,a,4,4
3555999,2820,a,4,4
9494873,3130,f,0,4
9494873,3220,a,4,4
6042176,3115,c,2,4
6042176,2820,b,3,4
6042176,1597,a,4,4
8960454,1530,a,4,4
8960454,3142,b,3,4
8974402,1600,a,4,4
8974402,3171,a,4,4
3442538,3320,b,3,4
3442538,3225,d,1,4
3442538,2600,a,4,4
1270178,3160,a,4,4
1270178,2531,f,0,4
1270178,3220,a,4,4
5126631,3220,a,4,4
3759364,2210,c,2,4
3759364,1530,f,0,4
3759364,1590,c,2,4
2298001,3142,a,4,4
2298001,3350,f,0,4
1297598,3115,a,4,4
9939221,3310,b,3,4
9939221,2590,w,0,0
7670762,2600,d,1,4
7670762,2210,c,2,4
7670762,3310,a,4,4
8841131,3160,d,1,4
8841131,3350,b,3,4
2680945,3171,a,4,4
2680945,3350,a,4,4
1837150,2590,c,2,4
3605830,3320,a,4,4
3605830,1600,d,1,4
3605830,3310,a,4,4
8954058,1530,b,3,4
8954058,3350,a,4,4
2207639,3140,c,2,4
2207639,3310,d,1,4
6915519,3320,b,3,4
6915519,3410,b,3,4
6915519,2531,a,4,4
7119330,2820,a,4,4
7119330,1580,b,3,4
1329591,3320,f,0,4
1329591,2820,a,4,4
1329591,3142,b,3,4
8854136,2210,b,3,4
8854136,3310,b,3,4
8854136,3350,b,3,4
3292348,3410,a,4,4
3292348,3115,d,1,4
4828934,3142,a,4,4
4828934,3310,b,3,4
8121331,2600,w,0,0
8121331,3142,b,3,4
8121331,3350,f,0,4
9282994,3160,d,1,4
9282994,3320,b,3,4
1731969,3130,a,4,4
1731969,2820,c,2,4
6705283,2600,f,0,4
6705283,3410,b,3,4
9432884,3160,b,3,4
9432884,2820,a,4,4
8441203,2600,b,3,4
8441203,3230,a,4,4
8124289,3320,w,0,0
8124289,3115,b,3,4
8124289,1597,b,3,4
6185763,2600,a,4,4
6185763,3130,a,4,4
6185763,1580,a,4,4
9763243,3130,c,2,4
9763243,3350,b,3,4
7393614,3320,a,4,4
7393614,1530,a,4,4
7393614,2531,a,4,4
5732666,3410,a,4,4
5732666,1580,w,0,0
5732666,2820,f,0,4
6730376,3220,f,0,4
6730376,3142,b,3,4
4436208,1530,d,1,4
7078702,2531,b,3,4
7078702,2590,f,0,4
5354715,3230,b,3,4
5354715,3142,f,0,4
5554120,1590,a,4,4
5554120,3230,a,4,4
6940518,2820,w,0,0
6940518,3230,a,4,4
8492220,3410,a,4,4
6641751,2210,a,4,4
7380830,3160,b,3,4
7380830,3225,a,4,4
8539894,3115,a,4,4
8539894,3171,w,0,0
8539894,2531,a,4,4
4904852,3160,f,0,4
4904852,3220,b,3,4
4814246,3225,b,3,4
4814246,3310,b,3,4
4814246,3230,d,1,4
4755324,1600,a,4,4
4755324,3130,a,4,4
4755324,2210,f,0,4
3370477,2531,b,3,4
3370477,3310,f,0,4
3443499,3410,b,3,4
3537067,3220,b,3,4
3537067,3350,b,3,4
2668119,3225,d,1,4
2668119,2531,c,2,4
2106032,2531,b,3,4
2106032,3142,d,1,4
5060866,3220,f,0,4
4129610,3130,f,0,4
4129610,3140,b,3,4
7737799,2600,a,4,4
7737799,3410,a,4,4
8052141,3225,a,4,4
8052141,2820,b,3,4
8052141,2590,a,4,4
9178569,3140,f,0,4
9178569,2820,b,3,4
2386128,2210,a,4,4
2386128,3171,b,3,4
7307331,3130,b,3,4
7647273,2600,f,0,4
7647273,3171,b,3,4
4529160,3115,b,3,4
4529160,3140,a,4,4
4529160,3142,d,1,4
9272739,3115,d,1,4
9272739,3220,w,0,0
9272739,3310,f,0,4
9400750,2600,w,0,0
9400750,2210,a,4,4
9400750,3310,a,4,4
1527536,3171,c,2,4
1527536,2590,a,4,4
1505313,3130,d,1,4
1505313,3220,a,4,4
1505313,3310,b,3,4
3142459,2531,a,4,4
3142459,1597,a,4,4
3142459,3350,a,4,4
6192030,3130,d,1,4
6192030,3142,b,3,4
1234706,3320,a,4,4
1234706,3140,a,4,4
9657004,2600,b,3,4
9657004,3220,a,4,4
7095861,3140,b,3,4
7095861,3350,b,3,4
4955020,3350,b,3,4
9139062,2600,a,4,4
9139062,3225,b,3,4
5883623,3142,a,4,4
5883623,3350,d,1,4
2469246,1530,a,4,4
2469246,3171,b,3,4
2469246,3140,a,4,4
8363589,3310,a,4,4
8363589,3230,b,3,4
8363589,3142,f,0,4
3273417,3115,a,4,4
3852517,2820,b,3,4
3852517,3310,a,4,4
8457984,1530,a,4,4
8457984,3220,a,4,4
6721357,3140,w,0,0
6721357,3230,w,0,0
7668005,3220,b,3,4
9062024,1530,a,4,4
1602747,3320,a,4,4
1602747,3350,a,4,4
3755226,3225,a,4,4
3755226,3310,a,4,4
3755226,3142,d,1,4
7267496,2820,b,3,4
7267496,3142,a,4,4
3926663,3171,b,3,4
3926663,2590,a,4,4
7713024,2531,a,4,4
7713024,3142,f,0,4
3544614,3320,c,2,4
3544614,3350,a,4,4
4472718,3142,b,3,4
4472718,3230,b,3,4
1263404,3160,a,4,4
1263404,2820,c,2,4
1263404,2590,d,1,4
8325551,1600,f,0,4
8325551,3171,f,0,4
9354199,3225,w,0,0
9354199,3130,b,3,4
3680812,3160,w,0,0
3680812,2210,b,3,4
3680812,3142,a,4,4
3207529,2210,c,2,4
3207529,3310,a,4,4
6766018,2531,b,3,4
6766018,3140,a,4,4
9024300,3410,b,3,4
9024300,3310,b,3,4
2891900,3225,a,4,4
2891900,3115,a,4,4
2891900,3220,d,1,4
1115483,3130,a,4,4
1115483,1580,a,4,4
7362238,3130,a,4,4
7362238,2531,a,4,4
7362238,1597,a,4,4
7678806,1597,a,4,4
7678806,3310,a,4,4
6482359,2590,a,4,4
5876195,3410,f,0,4
8450447,1600,c,2,4
8450447,3225,b,3,4
8450447,3350,d,1,4
6936402,1530,a,4,4
9225250,3320,a,4,4
9225250,3220,a,4,4
3584668,3320,a,4,4
3584668,1600,c,2,4
4356601,3225,b,3,4
8652895,3171,d,1,4
8652895,3140,a,4,4
6772215,2820,b,3,4
6772215,1597,b,3,4
6772215,3140,b,3,4
1406859,3171,a,4,4
1406859,3115,w,0,0
6398913,1580,a,4,4
6398913,3142,a,4,4
6398913,3350,b,3,4
6276752,3115,a,4,4
6276752,3230,a,4,4
1922319,3115,b,3,4
1922319,2820,f,0,4
7525243,3130,w,0,0
7525243,3220,d,1,4
1371517,3320,a,4,4
1371517,3160,b,3,4
1371517,2590,f,0,4
4381198,1530,w,0,0
4381198,3142,f,0,4
2950347,3225,a,4,4
2950347,3130,a,4,4
2950347,2531,c,2,4
3260499,1530,a,4,4
3260499,3115,a,4,4
3260499,3142,a,4,4
3252006,2600,b,3,4
3252006,3225,b,3,4
2423417,3130,a,4,4
2182653,3225,a,4,4
2182653,2210,a,4,4
2182653,3115,f,0,4
4958469,2531,b,3,4
4958469,1597,a,4,4
8584823,3115,a,4,4
8584823,3220,a,4,4
8584823,1590,a,4,4
3438733,3115,a,4,4
3438733,1597,a,4,4
1287073,3225,f,0,4
1287073,3171,a,4,4
5184157,1600,c,2,4
5184157,3171,a,4,4
5184157,3320,d,1,4
7594841,3225,a,4,4
7594841,1530,a,4,4
7594841,3310,b,3,4
1015901,3225,d,1,4
5703215,2590,a,4,4
5147541,2600,a,4,4
5147541,2531,b,3,4
8788863,1600,a,4,4
8788863,3410,a,4,4
6990591,3310,a,4,4
6990591,3171,b,3,4
6990591,1590,b,3,4
5380854,2210,a,4,4
5380854,1580,a,4,4
2068478,3160,a,4,4
2068478,2210,b,3,4
2068478,3142,a,4,4
4197529,2210,f,0,4
4197529,1590,f,0,4
4777828,2531,a,4,4
4777828,3220,f,0,4
6403945,3115,a,4,4
6403945,1590,a,4,4
9812447,3140,a,4,4
5320724,3130,c,2,4
5320724,3230,a,4,4
5363822,3320,f,0,4
5363822,3130,d,1,4
2681971,1597,b,3,4
2681971,3142,b,3,4
6642376,3160,b,3,4
6642376,2600,w,0,0
6642376,3350,a,4,4
5422090,3130,c,2,4
5422090,3220,a,4,4
5422090,3350,w,0,0
6402404,3130,f,0,4
6402404,3171,a,4,4
2451072,3171,b,3,4
2451072,3142,w,0,0
2075291,3320,a,4,4
2075291,3142,c,2,4
8780730,3130,w,0,0
8780730,3171,a,4,4
2688149,1580,a,4,4
4548028,1580,a,4,4
4548028,3230,b,3,4
2460633,2820,b,3,4
4557620,1590,a,4,4
5060283,3320,a,4,4
5060283,1590,a,4,4
1850316,3410,a,4,4
1850316,3350,a,4,4
4379497,2531,b,3,4
4312766,3320,a,4,4
4312766,3160,a,4,4
4312766,3140,b,3,4
4838144,3160,d,1,4
4838144,3220,b,3,4
4838144,2590,f,0,4
3595083,3160,f,0,4
3595083,2600,a,4,4
3595083,1600,d,1,4
5282920,3410,a,4,4
5282920,1597,b,3,4
2472168,3160,b,3,4
2472168,3230,w,0,0
8497850,3142,a,4,4
6623351,3160,b,3,4
6623351,1580,b,3,4
1881759,3320,f,0,4
1881759,3230,a,4,4
5842272,1530,b,3,4
5842272,3171,a,4,4
5842272,3220,a,4,4
8364426,3220,b,3,4
8364426,3310,b,3,4
6227818,2590,w,0,0
1644129,3225,a,4,4
1644129,3410,a,4,4
1953047,3160,a,4,4
1953047,2210,d,1,4
1797815,1600,d,1,4
1797815,3130,c,2,4
1437468,3320,a,4,4
1437468,3160,f,0,4
2274224,3320,a,4,4
2274224,3171,a,4,4
9451462,3410,a,4,4
9451462,2531,a,4,4
9451462,1530,c,2,4
6481989,2600,c,2,4
6481989,3140,b,3,4
7864651,2600,d,1,4
7864651,3410,w,0,0
7864651,3115,w,0,0
1544961,1600,a,4,4
1863793,2210,a,4,4
1863793,3140,a,4,4
8479049,2820,b,3,4
8479049,3310,a,4,4
8479049,3350,b,3,4
7539433,2531,f,0,4
3830099,3160,b,3,4
3830099,2820,b,3,4
3830099,3142,b,3,4
2451162,3142,b,3,4
2451162,3140,f,0,4
2451162,3310,b,3,4
4291483,3320,b,3,4
3335236,3171,f,0,4
3335236,3140,d,1,4
6716042,3310,a,4,4
6716042,2590,a,4,4
5146920,3230,c,2,4
5146920,3220,d,1,4
5146920,3310,b,3,4
7688364,3220,a,4,4
7688364,3310,b,3,4
5233223,3320,b,3,4
5233223,3225,c,2,4
5233223,3350,c,2,4
9994183,3115,b,3,4
9994183,1597,b,3,4
7489206,3160,b,3,4
7489206,3410,a,4,4
7489206,2210,b,3,4
5565579,3140,a,4,4
5565579,3142,f,0,4
2130550,1600,b,3,4
2130550,3115,w,0,0
9593434,3320,a,4,4
9593434,1530,a,4,4
2573777,3220,c,2,4
2573777,2820,d,1,4
2573777,3350,w,0,0
8782205,2531,b,3,4
9995632,2600,b,3,4
9995632,3130,c,2,4
9995632,1530,a,4,4
2361191,3160,a,4,4
2361191,2600,b,3,4
5859118,3410,a,4,4
9584447,3225,a,4,4
9584447,3220,b,3,4
9584447,3142,c,2,4
2609478,3115,b,3,4
2609478,2590,c,2,4
2609478,2531,a,4,4
9178444,2600,a,4,4
9178444,3350,a,4,4
9178444,2590,f,0,4
7923247,2210,b,3,4
7923247,3410,f,0,4
7923247,2590,d,1,4
3426508,3171,a,4,4
8278444,2600,f,0,4
4201392,3220,d,1,4
4201392,2820,b,3,4
4201392,3142,a,4,4
2717886,1530,a,4,4
2717886,3171,a,4,4
2717886,3142,b,3,4
9231816,3115,f,0,4
9231816,3140,b,3,4
2359572,3310,w,0,0
2359572,3115,a,4,4
2359572,1590,a,4,4
7628141,2590,c,2,4
9276176,2531,f,0,4
9276176,3350,b,3,4
5889075,2600,b,3,4
5889075,3410,b,3,4
5889075,2820,a,4,4
3436599,2210,a,4,4
3436599,1530,b,3,4
3106402,3410,a,4,4
3106402,1580,a,4,4
