,MM/DD/YYYY,YEAR,MONTH,DAY,TMAX,TMIN
0,1869-01-01,1869,1,1,-17.0,-72.0
1,1869-01-02,1869,1,2,-28.0,-61.0
2,1869-01-03,1869,1,3,17.0,-28.0
3,1869-01-04,1869,1,4,28.0,11.0
4,1869-01-05,1869,1,5,61.0,28.0
5,1869-01-06,1869,1,6,33.0,11.0
6,1869-01-07,1869,1,7,89.0,17.0
7,1869-01-08,1869,1,8,122.0,44.0
8,1869-01-09,1869,1,9,89.0,33.0
9,1869-01-10,1869,1,10,67.0,6.0
10,1869-01-11,1869,1,11,6.0,-11.0
11,1869-01-12,1869,1,12,28.0,-17.0
12,1869-01-13,1869,1,13,33.0,-22.0
13,1869-01-14,1869,1,14,56.0,0.0
14,1869-01-15,1869,1,15,56.0,39.0
15,1869-01-16,1869,1,16,33.0,0.0
16,1869-01-17,1869,1,17,17.0,-17.0
17,1869-01-18,1869,1,18,-17.0,-33.0
18,1869-01-19,1869,1,19,11.0,-28.0
19,1869-01-20,1869,1,20,28.0,-11.0
20,1869-01-21,1869,1,21,56.0,-17.0
21,1869-01-22,1869,1,22,-17.0,-83.0
22,1869-01-23,1869,1,23,39.0,-67.0
23,1869-01-24,1869,1,24,89.0,17.0
24,1869-01-25,1869,1,25,33.0,-56.0
25,1869-01-26,1869,1,26,-6.0,-78.0
26,1869-01-27,1869,1,27,44.0,-50.0
27,1869-01-28,1869,1,28,83.0,17.0
28,1869-01-29,1869,1,29,89.0,-11.0
29,1869-01-30,1869,1,30,122.0,50.0
30,1869-01-31,1869,1,31,50.0,-11.0
31,1869-02-01,1869,2,1,6.0,-39.0
32,1869-02-02,1869,2,2,11.0,-56.0
33,1869-02-03,1869,2,3,22.0,17.0
34,1869-02-04,1869,2,4,33.0,-61.0
35,1869-02-05,1869,2,5,-33.0,-56.0
36,1869-02-06,1869,2,6,44.0,-33.0
37,1869-02-07,1869,2,7,22.0,-50.0
38,1869-02-08,1869,2,8,44.0,-39.0
39,1869-02-09,1869,2,9,33.0,11.0
40,1869-02-10,1869,2,10,39.0,11.0
41,1869-02-11,1869,2,11,78.0,33.0
42,1869-02-12,1869,2,12,89.0,22.0
43,1869-02-13,1869,2,13,161.0,44.0
44,1869-02-14,1869,2,14,56.0,17.0
45,1869-02-15,1869,2,15,61.0,0.0
46,1869-02-16,1869,2,16,67.0,22.0
47,1869-02-17,1869,2,17,78.0,11.0
48,1869-02-18,1869,2,18,50.0,-11.0
49,1869-02-19,1869,2,19,56.0,-11.0
50,1869-02-20,1869,2,20,39.0,0.0
51,1869-02-21,1869,2,21,44.0,6.0
52,1869-02-22,1869,2,22,100.0,33.0
53,1869-02-23,1869,2,23,67.0,6.0
54,1869-02-24,1869,2,24,33.0,-28.0
55,1869-02-25,1869,2,25,33.0,-33.0
56,1869-02-26,1869,2,26,11.0,-6.0
57,1869-02-27,1869,2,27,-6.0,-56.0
58,1869-02-28,1869,2,28,-39.0,-83.0
59,1869-03-01,1869,3,1,-33.0,-156.0
60,1869-03-02,1869,3,2,22.0,-72.0
61,1869-03-03,1869,3,3,61.0,-22.0
62,1869-03-04,1869,3,4,67.0,-72.0
63,1869-03-05,1869,3,5,17.0,-117.0
64,1869-03-06,1869,3,6,22.0,-67.0
65,1869-03-07,1869,3,7,-33.0,-67.0
66,1869-03-08,1869,3,8,33.0,-33.0
67,1869-03-09,1869,3,9,78.0,0.0
68,1869-03-10,1869,3,10,83.0,33.0
69,1869-03-11,1869,3,11,28.0,-22.0
70,1869-03-12,1869,3,12,33.0,-28.0
71,1869-03-13,1869,3,13,111.0,6.0
72,1869-03-14,1869,3,14,89.0,11.0
73,1869-03-15,1869,3,15,11.0,-39.0
74,1869-03-16,1869,3,16,39.0,-33.0
75,1869-03-17,1869,3,17,56.0,-6.0
76,1869-03-18,1869,3,18,22.0,-44.0
77,1869-03-19,1869,3,19,56.0,11.0
78,1869-03-20,1869,3,20,89.0,0.0
79,1869-03-21,1869,3,21,0.0,-61.0
80,1869-03-22,1869,3,22,17.0,-61.0
81,1869-03-23,1869,3,23,44.0,0.0
82,1869-03-24,1869,3,24,100.0,17.0
83,1869-03-25,1869,3,25,78.0,6.0
84,1869-03-26,1869,3,26,83.0,39.0
85,1869-03-27,1869,3,27,156.0,89.0
86,1869-03-28,1869,3,28,128.0,50.0
87,1869-03-29,1869,3,29,44.0,39.0
88,1869-03-30,1869,3,30,117.0,44.0
89,1869-03-31,1869,3,31,78.0,33.0
90,1869-04-01,1869,4,1,89.0,22.0
91,1869-04-02,1869,4,2,61.0,33.0
92,1869-04-03,1869,4,3,50.0,33.0
93,1869-04-04,1869,4,4,33.0,-11.0
94,1869-04-05,1869,4,5,100.0,22.0
95,1869-04-06,1869,4,6,117.0,56.0
96,1869-04-07,1869,4,7,67.0,28.0
97,1869-04-08,1869,4,8,111.0,22.0
98,1869-04-09,1869,4,9,83.0,6.0
99,1869-04-10,1869,4,10,83.0,11.0
100,1869-04-11,1869,4,11,44.0,17.0
101,1869-04-12,1869,4,12,89.0,33.0
102,1869-04-13,1869,4,13,72.0,0.0
103,1869-04-14,1869,4,14,78.0,17.0
104,1869-04-15,1869,4,15,122.0,33.0
105,1869-04-16,1869,4,16,194.0,100.0
106,1869-04-17,1869,4,17,139.0,100.0
107,1869-04-18,1869,4,18,217.0,111.0
108,1869-04-19,1869,4,19,244.0,133.0
109,1869-04-20,1869,4,20,200.0,133.0
110,1869-04-21,1869,4,21,156.0,139.0
111,1869-04-22,1869,4,22,139.0,83.0
112,1869-04-23,1869,4,23,161.0,100.0
113,1869-04-24,1869,4,24,228.0,139.0
114,1869-04-25,1869,4,25,139.0,122.0
115,1869-04-26,1869,4,26,217.0,117.0
116,1869-04-27,1869,4,27,217.0,156.0
117,1869-04-28,1869,4,28,206.0,144.0
118,1869-04-29,1869,4,29,144.0,67.0
119,1869-04-30,1869,4,30,128.0,56.0
120,1869-05-01,1869,5,1,78.0,56.0
121,1869-05-09,1869,5,9,183.0,117.0
122,1869-05-10,1869,5,10,189.0,111.0
123,1869-05-11,1869,5,11,239.0,139.0
124,1869-05-12,1869,5,12,267.0,172.0
125,1869-05-13,1869,5,13,172.0,156.0
126,1869-05-14,1869,5,14,217.0,144.0
127,1869-05-15,1869,5,15,206.0,144.0
128,1869-05-16,1869,5,16,167.0,133.0
129,1869-05-17,1869,5,17,161.0,117.0
130,1869-05-18,1869,5,18,167.0,117.0
131,1869-05-19,1869,5,19,128.0,94.0
132,1869-05-20,1869,5,20,172.0,128.0
133,1869-05-21,1869,5,21,161.0,106.0
134,1869-05-22,1869,5,22,150.0,89.0
135,1869-05-23,1869,5,23,183.0,100.0
136,1869-05-24,1869,5,24,233.0,139.0
137,1869-05-25,1869,5,25,267.0,172.0
138,1869-05-26,1869,5,26,289.0,183.0
139,1869-05-27,1869,5,27,183.0,100.0
140,1869-05-28,1869,5,28,144.0,111.0
141,1869-05-29,1869,5,29,233.0,122.0
142,1869-05-30,1869,5,30,194.0,156.0
143,1869-05-31,1869,5,31,267.0,167.0
144,1869-06-01,1869,6,1,261.0,211.0
145,1869-06-02,1869,6,2,211.0,178.0
146,1869-06-03,1869,6,3,283.0,189.0
147,1869-06-04,1869,6,4,228.0,172.0
148,1869-06-05,1869,6,5,278.0,189.0
149,1869-06-06,1869,6,6,183.0,156.0
150,1869-06-07,1869,6,7,183.0,128.0
151,1869-06-08,1869,6,8,139.0,128.0
152,1869-06-09,1869,6,9,178.0,133.0
153,1869-06-10,1869,6,10,144.0,122.0
154,1869-06-11,1869,6,11,200.0,139.0
155,1869-06-12,1869,6,12,206.0,150.0
156,1869-06-13,1869,6,13,233.0,183.0
157,1869-06-14,1869,6,14,244.0,194.0
158,1869-06-15,1869,6,15,206.0,189.0
159,1869-06-16,1869,6,16,200.0,161.0
160,1869-06-17,1869,6,17,233.0,167.0
161,1869-06-18,1869,6,18,256.0,206.0
162,1869-06-19,1869,6,19,278.0,222.0
163,1869-06-20,1869,6,20,256.0,200.0
164,1869-06-21,1869,6,21,278.0,211.0
165,1869-06-22,1869,6,22,172.0,161.0
166,1869-06-23,1869,6,23,222.0,183.0
167,1869-06-24,1869,6,24,250.0,206.0
168,1869-06-25,1869,6,25,261.0,206.0
169,1869-06-26,1869,6,26,267.0,228.0
170,1869-06-27,1869,6,27,272.0,222.0
171,1869-06-28,1869,6,28,306.0,200.0
172,1869-06-29,1869,6,29,278.0,217.0
173,1869-06-30,1869,6,30,256.0,211.0
174,1869-07-01,1869,7,1,211.0,167.0
175,1869-07-02,1869,7,2,244.0,178.0
176,1869-07-03,1869,7,3,289.0,211.0
177,1869-07-04,1869,7,4,283.0,222.0
178,1869-07-05,1869,7,5,228.0,183.0
179,1869-07-06,1869,7,6,233.0,189.0
180,1869-07-07,1869,7,7,239.0,172.0
181,1869-07-08,1869,7,8,267.0,189.0
182,1869-07-09,1869,7,9,222.0,189.0
183,1869-07-10,1869,7,10,278.0,211.0
184,1869-07-11,1869,7,11,311.0,228.0
185,1869-07-12,1869,7,12,244.0,189.0
186,1869-07-13,1869,7,13,267.0,211.0
187,1869-07-14,1869,7,14,189.0,183.0
188,1869-07-15,1869,7,15,278.0,217.0
189,1869-07-16,1869,7,16,333.0,256.0
190,1869-07-17,1869,7,17,289.0,250.0
191,1869-07-18,1869,7,18,244.0,222.0
192,1869-07-19,1869,7,19,222.0,206.0
193,1869-07-20,1869,7,20,206.0,194.0
194,1869-07-21,1869,7,21,267.0,194.0
195,1869-07-22,1869,7,22,217.0,167.0
196,1869-07-23,1869,7,23,239.0,189.0
197,1869-07-24,1869,7,24,267.0,172.0
198,1869-07-25,1869,7,25,272.0,222.0
199,1869-07-26,1869,7,26,244.0,228.0
200,1869-07-27,1869,7,27,289.0,239.0
201,1869-07-28,1869,7,28,278.0,217.0
202,1869-07-29,1869,7,29,256.0,217.0
203,1869-07-30,1869,7,30,233.0,167.0
204,1869-07-31,1869,7,31,244.0,178.0
205,1869-08-01,1869,8,1,256.0,194.0
206,1869-08-02,1869,8,2,244.0,183.0
207,1869-08-03,1869,8,3,289.0,233.0
208,1869-08-04,1869,8,4,256.0,206.0
209,1869-08-05,1869,8,5,222.0,194.0
210,1869-08-06,1869,8,6,194.0,133.0
211,1869-08-07,1869,8,7,194.0,144.0
212,1869-08-08,1869,8,8,239.0,139.0
213,1869-08-09,1869,8,9,250.0,178.0
214,1869-08-10,1869,8,10,267.0,183.0
215,1869-08-11,1869,8,11,283.0,194.0
216,1869-08-12,1869,8,12,272.0,211.0
217,1869-08-13,1869,8,13,250.0,211.0
218,1869-08-14,1869,8,14,261.0,200.0
219,1869-08-15,1869,8,15,272.0,217.0
220,1869-08-16,1869,8,16,244.0,200.0
221,1869-08-17,1869,8,17,200.0,167.0
222,1869-08-18,1869,8,18,222.0,172.0
223,1869-08-19,1869,8,19,278.0,194.0
224,1869-08-20,1869,8,20,339.0,222.0
225,1869-08-21,1869,8,21,350.0,233.0
226,1869-08-22,1869,8,22,233.0,200.0
227,1869-08-23,1869,8,23,233.0,189.0
228,1869-08-24,1869,8,24,250.0,189.0
229,1869-08-25,1869,8,25,256.0,194.0
230,1869-08-26,1869,8,26,261.0,200.0
231,1869-08-27,1869,8,27,239.0,178.0
232,1869-08-28,1869,8,28,278.0,206.0
233,1869-08-29,1869,8,29,256.0,217.0
234,1869-08-30,1869,8,30,217.0,167.0
235,1869-08-31,1869,8,31,194.0,144.0
236,1869-09-01,1869,9,1,150.0,106.0
237,1869-09-02,1869,9,2,167.0,128.0
238,1869-09-03,1869,9,3,217.0,139.0
239,1869-09-04,1869,9,4,256.0,183.0
240,1869-09-05,1869,9,5,256.0,172.0
241,1869-09-06,1869,9,6,244.0,183.0
242,1869-09-07,1869,9,7,261.0,222.0
243,1869-09-08,1869,9,8,244.0,217.0
244,1869-09-09,1869,9,9,217.0,178.0
245,1869-09-10,1869,9,10,200.0,139.0
246,1869-09-11,1869,9,11,217.0,144.0
247,1869-09-12,1869,9,12,228.0,150.0
248,1869-09-13,1869,9,13,250.0,178.0
249,1869-09-14,1869,9,14,228.0,178.0
250,1869-09-15,1869,9,15,222.0,161.0
251,1869-09-16,1869,9,16,244.0,172.0
252,1869-09-17,1869,9,17,189.0,183.0
253,1869-09-18,1869,9,18,189.0,167.0
254,1869-09-19,1869,9,19,239.0,172.0
255,1869-09-20,1869,9,20,300.0,194.0
256,1869-09-21,1869,9,21,228.0,178.0
257,1869-09-22,1869,9,22,178.0,161.0
258,1869-09-23,1869,9,23,200.0,167.0
259,1869-09-24,1869,9,24,217.0,161.0
260,1869-09-25,1869,9,25,217.0,172.0
261,1869-09-26,1869,9,26,217.0,144.0
262,1869-09-27,1869,9,27,144.0,100.0
263,1869-09-28,1869,9,28,133.0,78.0
264,1869-09-29,1869,9,29,183.0,106.0
265,1869-09-30,1869,9,30,211.0,128.0
266,1869-10-01,1869,10,1,233.0,128.0
267,1869-10-02,1869,10,2,211.0,128.0
268,1869-10-03,1869,10,3,217.0,167.0
269,1869-10-04,1869,10,4,211.0,122.0
270,1869-10-05,1869,10,5,150.0,100.0
271,1869-10-06,1869,10,6,161.0,78.0
272,1869-10-07,1869,10,7,172.0,89.0
273,1869-10-08,1869,10,8,211.0,117.0
274,1869-10-09,1869,10,9,189.0,111.0
275,1869-10-10,1869,10,10,206.0,144.0
276,1869-10-11,1869,10,11,172.0,117.0
277,1869-10-12,1869,10,12,178.0,117.0
278,1869-10-13,1869,10,13,178.0,78.0
279,1869-10-14,1869,10,14,144.0,56.0
280,1869-10-15,1869,10,15,161.0,106.0
281,1869-10-16,1869,10,16,117.0,67.0
282,1869-10-17,1869,10,17,150.0,44.0
283,1869-10-18,1869,10,18,117.0,72.0
284,1869-10-19,1869,10,19,94.0,50.0
285,1869-10-20,1869,10,20,89.0,28.0
286,1869-10-21,1869,10,21,111.0,33.0
287,1869-10-22,1869,10,22,144.0,33.0
288,1869-10-23,1869,10,23,167.0,83.0
289,1869-10-24,1869,10,24,156.0,50.0
290,1869-10-25,1869,10,25,72.0,22.0
291,1869-10-26,1869,10,26,83.0,-11.0
292,1869-10-27,1869,10,27,39.0,-11.0
293,1869-10-28,1869,10,28,67.0,17.0
294,1869-10-29,1869,10,29,78.0,33.0
295,1869-10-30,1869,10,30,44.0,11.0
296,1869-10-31,1869,10,31,50.0,0.0
297,1869-11-01,1869,11,1,50.0,-11.0
298,1869-11-02,1869,11,2,100.0,33.0
299,1869-11-03,1869,11,3,111.0,44.0
300,1869-11-04,1869,11,4,161.0,56.0
301,1869-11-05,1869,11,5,117.0,83.0
302,1869-11-06,1869,11,6,89.0,56.0
303,1869-11-07,1869,11,7,61.0,-6.0
304,1869-11-08,1869,11,8,39.0,-6.0
305,1869-11-09,1869,11,9,67.0,17.0
306,1869-11-10,1869,11,10,50.0,-6.0
307,1869-11-11,1869,11,11,61.0,11.0
308,1869-11-12,1869,11,12,61.0,22.0
309,1869-11-13,1869,11,13,78.0,28.0
310,1869-11-14,1869,11,14,44.0,17.0
311,1869-11-15,1869,11,15,28.0,6.0
312,1869-11-16,1869,11,16,56.0,0.0
313,1869-11-17,1869,11,17,144.0,22.0
314,1869-11-18,1869,11,18,56.0,28.0
315,1869-11-19,1869,11,19,111.0,11.0
316,1869-11-20,1869,11,20,133.0,61.0
317,1869-11-21,1869,11,21,67.0,17.0
318,1869-11-22,1869,11,22,61.0,0.0
319,1869-11-23,1869,11,23,83.0,56.0
320,1869-11-24,1869,11,24,72.0,-17.0
321,1869-11-25,1869,11,25,22.0,-33.0
322,1869-11-26,1869,11,26,44.0,-22.0
323,1869-11-27,1869,11,27,61.0,28.0
324,1869-11-28,1869,11,28,44.0,11.0
325,1869-11-29,1869,11,29,72.0,6.0
326,1869-11-30,1869,11,30,139.0,72.0
327,1869-12-01,1869,12,1,167.0,6.0
328,1869-12-02,1869,12,2,6.0,-44.0
329,1869-12-03,1869,12,3,-17.0,-89.0
330,1869-12-04,1869,12,4,28.0,-94.0
331,1869-12-05,1869,12,5,39.0,17.0
332,1869-12-06,1869,12,6,11.0,-61.0
333,1869-12-07,1869,12,7,-33.0,-100.0
334,1869-12-08,1869,12,8,11.0,-56.0
335,1869-12-09,1869,12,9,39.0,-39.0
336,1869-12-10,1869,12,10,67.0,-83.0
337,1869-12-11,1869,12,11,72.0,-39.0
338,1869-12-12,1869,12,12,56.0,0.0
339,1869-12-13,1869,12,13,56.0,-11.0
340,1869-12-14,1869,12,14,0.0,-33.0
341,1869-12-15,1869,12,15,22.0,-44.0
342,1869-12-16,1869,12,16,94.0,28.0
343,1869-12-17,1869,12,17,56.0,17.0
344,1869-12-18,1869,12,18,67.0,6.0
345,1869-12-19,1869,12,19,28.0,0.0
346,1869-12-20,1869,12,20,6.0,-22.0
347,1869-12-21,1869,12,21,28.0,-28.0
348,1869-12-22,1869,12,22,133.0,-6.0
349,1869-12-23,1869,12,23,89.0,-17.0
350,1869-12-24,1869,12,24,22.0,-28.0
351,1869-12-25,1869,12,25,22.0,-17.0
352,1869-12-26,1869,12,26,83.0,11.0
353,1869-12-27,1869,12,27,78.0,50.0
354,1869-12-28,1869,12,28,94.0,44.0
355,1869-12-29,1869,12,29,44.0,28.0
356,1869-12-30,1869,12,30,78.0,17.0
357,1869-12-31,1869,12,31,78.0,28.0
358,1870-01-01,1870,1,1,61.0,11.0
359,1870-01-02,1870,1,2,122.0,33.0
360,1870-01-03,1870,1,3,50.0,17.0
361,1870-01-04,1870,1,4,17.0,-17.0
362,1870-01-05,1870,1,5,11.0,-28.0
363,1870-01-06,1870,1,6,67.0,-6.0
364,1870-01-07,1870,1,7,17.0,-33.0
365,1870-01-08,1870,1,8,11.0,-78.0
366,1870-01-09,1870,1,9,-22.0,-83.0
367,1870-01-10,1870,1,10,28.0,-33.0
368,1870-01-11,1870,1,11,78.0,-11.0
