state,population,area
Alabama,4040389,52423
Alaska,550043,656425
Arizona,3665339,114006
Arkansas,2350624,53182
California,29811427,163707
Colorado,3294473,104100
Connecticut,3287116,5544
Delaware,666168,1954
District of Columbia,606900,68
Florida,12938071,65758
Georgia,6478149,59441
Hawaii,1108229,10932
Idaho,1006734,83574
Illinois,11430602,57918
Indiana,5544156,36420
Iowa,2776831,56276
Kansas,2477588,82282
Kentucky,3686892,40411
Louisiana,4221826,51843
Maine,1227928,35387
Maryland,4780753,12407
Massachusetts,6016425,10555
Michigan,9295287,96810
Minnesota,4375665,86943
Mississippi,2575475,48434
Missouri,5116901,69709
Montana,799065,147046
Nebraska,1578417,77358
Nevada,1201675,110567
New Hampshire,1109252,9351
New Jersey,7747750,8722
New Mexico,1515069,121593
New York,17990778,54475
North Carolina,6632448,53821
North Dakota,638800,70704
Ohio,10847115,44828
Oklahoma,3145576,69903
Oregon,2842337,98386
Pennsylvania,11882842,46058
Rhode Island,1003464,1545
South Carolina,3486310,32007
South Dakota,696004,77121
Tennessee,4877203,42146
Texas,16986335,268601
Utah,1722850,84904
Vermont,562758,9615
Virginia,6189197,42769
Washington,4866669,71303
West Virginia,1793477,24231
Wisconsin,4891954,65503
Wyoming,453589,97818
Puerto Rico,3522037,3515
